"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 01월 29일","1,850.30","1,845.60","1,878.90","1,841.20","276.17K","0.49%"
"2021년 01월 28일","1,841.20","1,847.20","1,867.00","1,835.60","277.59K","-0.42%"
"2021년 01월 27일","1,848.90","1,854.30","1,855.70","1,832.40","174.14K","-0.32%"
"2021년 01월 26일","1,854.80","1,858.70","1,864.50","1,851.10","91.25K","-0.23%"
"2021년 01월 25일","1,859.00","1,858.60","1,870.90","1,850.00","89.52K","-0.05%"
"2021년 01월 22일","1,859.90","1,874.00","1,874.10","1,839.70","77.97K","-0.50%"
"2021년 01월 21일","1,869.30","1,875.60","1,878.10","1,861.20","48.23K","-0.05%"
"2021년 01월 20일","1,870.20","1,843.20","1,875.60","1,834.80","52.60K","1.42%"
"2021년 01월 19일","1,844.00","1,832.30","1,848.40","1,804.70","90.42K","0.40%"
"2021년 01월 18일","1,836.60","1,809.65","1,839.45","1,809.65","-","1.48%"
"2021년 01월 17일","1,809.75","1,826.80","1,829.10","1,803.60","-","-1.31%"
"2021년 01월 15일","1,833.70","1,850.40","1,860.20","1,826.10","40.61K","-1.17%"
"2021년 01월 14일","1,855.40","1,849.40","1,861.10","1,830.40","73.07K","-0.18%"
"2021년 01월 13일","1,858.80","1,858.60","1,866.50","1,845.70","70.54K","0.57%"
"2021년 01월 12일","1,848.20","1,850.70","1,867.80","1,840.00","51.42K","-0.36%"
"2021년 01월 11일","1,854.90","1,852.90","1,860.00","1,821.30","54.96K","0.83%"
"2021년 01월 08일","1,839.70","1,921.60","1,922.30","1,832.00","56.15K","-4.08%"
"2021년 01월 07일","1,918.00","1,925.90","1,933.80","1,912.20","10.63K","0.26%"
"2021년 01월 06일","1,913.00","1,958.30","1,966.80","1,907.20","25.53K","-2.34%"
"2021년 01월 05일","1,958.80","1,950.70","1,961.00","1,942.80","12.67K","0.39%"
"2021년 01월 04일","1,951.10","1,912.50","1,953.00","1,911.30","16.79K","2.60%"
"2021년 01월 01일","1,901.60","1,901.60","1,901.60","1,901.60","-","0.11%"
"2020년 12월 31일","1,899.60","1,903.00","1,909.20","1,893.80","5.35K","0.09%"
"2020년 12월 30일","1,897.80","1,886.50","1,903.00","1,884.30","3.35K","0.56%"
"2020년 12월 29일","1,887.30","1,882.10","1,895.20","1,880.10","4.37K","0.13%"
"2020년 12월 28일","1,884.80","1,890.90","1,908.00","1,877.20","3.94K","-0.14%"
"2020년 12월 24일","1,887.40","1,881.80","1,890.00","1,877.30","2.57K","0.27%"
"2020년 12월 23일","1,882.30","1,869.40","1,887.50","1,865.80","2.30K","0.42%"
"2020년 12월 22일","1,874.50","1,886.90","1,893.30","1,868.00","4.15K","-0.66%"
"2020년 12월 21일","1,887.00","1,896.80","1,915.40","1,863.30","3.96K","-0.32%"
"2020년 12월 18일","1,893.00","1,894.80","1,899.40","1,886.20","2.55K","-0.08%"
"2020년 12월 17일","1,894.50","1,871.60","1,906.00","1,870.50","5.68K","1.69%"
"2020년 12월 16일","1,863.00","1,861.50","1,873.60","1,852.60","4.18K","0.19%"
"2020년 12월 15일","1,859.40","1,835.50","1,863.00","1,834.20","3.22K","1.27%"
"2020년 12월 14일","1,836.10","1,849.00","1,849.00","1,825.00","3.68K","-0.62%"
"2020년 12월 11일","1,847.60","1,844.60","1,855.80","1,831.00","4.30K","0.33%"
"2020년 12월 10일","1,841.50","1,847.50","1,857.90","1,836.60","4.64K","-0.06%"
"2020년 12월 09일","1,842.60","1,879.10","1,879.10","1,832.40","5.56K","-1.94%"
"2020년 12월 08일","1,879.10","1,869.80","1,883.70","1,868.20","4.14K","0.48%"
"2020년 12월 07일","1,870.10","1,846.70","1,876.90","1,829.20","8.07K","1.42%"
"2020년 12월 04일","1,844.00","1,847.90","1,856.20","1,836.10","4.88K","-0.04%"
"2020년 12월 03일","1,844.70","1,837.00","1,850.70","1,830.50","4.06K","0.59%"
"2020년 12월 02일","1,833.90","1,823.00","1,839.20","1,814.80","7.07K","0.61%"
"2020년 12월 01일","1,822.80","1,784.10","1,824.70","1,783.30","4.19K","2.13%"
"2020년 11월 30일","1,784.80","1,795.00","1,797.00","1,771.30","3.74K","-0.41%"
"2020년 11월 27일","1,792.10","1,816.70","1,826.00","1,781.20","7.72K","-0.82%"
"2020년 11월 26일","1,807.00","1,806.25","1,816.80","1,804.20","-","-0.45%"
"2020년 11월 25일","1,815.10","1,816.00","1,825.10","1,809.00","3.79K","0.01%"
"2020년 11월 24일","1,815.00","1,846.00","1,846.60","1,807.60","16.97K","-1.80%"
"2020년 11월 23일","1,848.20","1,878.90","1,884.00","1,838.50","8.09K","-1.82%"
"2020년 11월 20일","1,882.40","1,872.00","1,888.80","1,869.60","3.94K","0.60%"
"2020년 11월 19일","1,871.10","1,877.30","1,879.40","1,860.00","4.82K","-0.64%"
"2020년 11월 18일","1,883.20","1,892.10","1,894.00","1,870.40","4.66K","-0.66%"
"2020년 11월 17일","1,895.80","1,898.60","1,902.90","1,888.70","6.58K","-0.17%"
"2020년 11월 16일","1,899.00","1,900.60","1,907.70","1,874.30","3.58K","0.04%"
"2020년 11월 13일","1,898.30","1,886.80","1,906.60","1,886.00","3.65K","0.68%"
"2020년 11월 12일","1,885.40","1,878.60","1,894.00","1,872.80","5.42K","0.65%"
"2020년 11월 11일","1,873.20","1,890.40","1,893.30","1,866.10","7.57K","-0.81%"
"2020년 11월 10일","1,888.50","1,874.40","1,900.00","1,872.60","11.77K","1.18%"
"2020년 11월 09일","1,866.40","1,969.20","1,978.20","1,859.60","12.53K","-5.02%"
"2020년 11월 06일","1,965.00","1,961.60","1,974.50","1,950.10","6.17K","0.28%"
"2020년 11월 05일","1,959.50","1,916.40","1,966.90","1,916.40","8.26K","2.67%"
"2020년 11월 04일","1,908.50","1,926.80","1,926.80","1,894.80","5.84K","-0.72%"
"2020년 11월 03일","1,922.40","1,907.00","1,924.00","1,902.70","2.85K","0.92%"
"2020년 11월 02일","1,904.80","1,891.30","1,908.30","1,887.70","3.32K","0.66%"
"2020년 10월 30일","1,892.40","1,878.20","1,903.00","1,878.20","2.56K","0.63%"
"2020년 10월 29일","1,880.50","1,890.10","1,897.40","1,872.90","1.79K","-0.61%"
"2020년 10월 28일","1,892.10","1,921.20","1,924.60","1,882.00","1.40K","-1.70%"
"2020년 10월 27일","1,924.90","1,917.30","1,926.40","1,914.00","2.03K","0.31%"
"2020년 10월 26일","1,919.00","1,918.10","1,924.10","1,907.40","0.90K","0.03%"
"2020년 10월 23일","1,918.50","1,921.70","1,930.50","1,909.20","0.93K","0.04%"
"2020년 10월 22일","1,917.80","1,940.50","1,940.50","1,907.60","3.04K","-1.27%"
"2020년 10월 21일","1,942.50","1,925.10","1,948.60","1,925.10","2.51K","0.73%"
"2020년 10월 20일","1,928.50","1,919.20","1,930.50","1,911.00","1.27K","0.18%"
"2020년 10월 19일","1,925.00","1,918.30","1,936.40","1,916.60","2.12K","0.26%"
"2020년 10월 16일","1,920.10","1,926.90","1,931.50","1,915.20","1.80K","-0.13%"
"2020년 10월 15일","1,922.60","1,920.40","1,926.60","1,907.20","2.78K","0.07%"
"2020년 10월 14일","1,921.20","1,903.20","1,930.80","1,900.80","1.15K","0.68%"
"2020년 10월 13일","1,908.20","1,929.70","1,940.20","1,904.10","4.07K","-1.76%"
"2020년 10월 12일","1,942.40","1,950.00","1,952.20","1,937.20","2.74K","0.15%"
"2020년 10월 09일","1,939.50","1,913.20","1,949.50","1,913.20","3.65K","1.63%"
"2020년 10월 08일","1,908.40","1,902.80","1,916.20","1,899.00","4.42K","0.27%"
"2020년 10월 07일","1,903.20","1,894.50","1,911.40","1,890.00","4.30K","-0.93%"
"2020년 10월 06일","1,921.00","1,929.50","1,936.90","1,892.40","1.75K","-0.57%"
"2020년 10월 05일","1,932.00","1,921.00","1,936.40","1,903.50","1.07K","0.64%"
"2020년 10월 02일","1,919.70","1,912.20","1,933.00","1,910.00","0.92K","-0.46%"
"2020년 10월 01일","1,928.60","1,911.60","1,930.00","1,910.70","1.49K","1.09%"
"2020년 09월 30일","1,907.80","1,915.80","1,920.00","1,899.50","1.12K","-0.40%"
"2020년 09월 29일","1,915.50","1,896.00","1,915.90","1,895.20","2.34K","1.10%"
"2020년 09월 28일","1,894.60","1,877.50","1,899.70","1,863.30","0.74K","0.86%"
"2020년 09월 25일","1,878.50","1,885.50","1,887.10","1,867.20","0.71K","-0.53%"
"2020년 09월 24일","1,888.50","1,870.50","1,891.00","1,862.40","1.57K","0.43%"
"2020년 09월 23일","1,880.40","1,915.80","1,920.20","1,868.40","1.69K","-2.09%"
"2020년 09월 22일","1,920.50","1,933.20","1,936.60","1,916.00","0.51K","-0.14%"
"2020년 09월 21일","1,923.10","1,962.30","1,973.90","1,898.90","1.10K","-2.63%"
"2020년 09월 18일","1,975.00","1,974.00","1,979.70","1,964.80","0.33K","0.64%"
"2020년 09월 17일","1,962.50","1,971.60","1,971.60","1,950.80","0.75K","-1.05%"
"2020년 09월 16일","1,983.40","1,977.30","1,996.80","1,974.00","0.40K","0.21%"
"2020년 09월 15일","1,979.30","1,987.80","1,995.20","1,969.50","0.97K","0.13%"
"2020년 09월 14일","1,976.80","1,959.00","1,985.10","1,959.00","0.77K","0.83%"
"2020년 09월 11일","1,960.60","1,967.30","1,971.40","1,958.50","0.69K","-0.81%"
"2020년 09월 10일","1,976.70","1,967.40","1,986.10","1,962.90","0.74K","0.50%"
"2020년 09월 09일","1,966.90","1,950.20","1,969.20","1,938.60","0.79K","0.57%"
"2020년 09월 08일","1,955.80","1,954.00","1,960.10","1,924.90","1.51K","0.97%"
"2020년 09월 07일","1,937.10","1,940.70","1,947.40","1,930.45","-","-0.18%"
"2020년 09월 06일","1,940.65","1,941.90","1,944.30","1,937.65","-","-0.32%"
"2020년 09월 04일","1,946.80","1,951.30","1,960.10","1,933.90","0.56K","-0.16%"
"2020년 09월 03일","1,950.00","1,963.40","1,965.60","1,940.00","1.03K","-0.39%"
"2020년 09월 02일","1,957.70","1,991.80","1,991.80","1,951.60","2.27K","-1.70%"
"2020년 09월 01일","1,991.60","2,001.00","2,010.80","1,984.60","0.87K","0.01%"
"2020년 08월 31일","1,991.40","1,993.60","1,994.90","1,975.00","1.38K","0.27%"
"2020년 08월 28일","1,986.10","1,949.00","1,992.20","1,947.70","1.90K","2.10%"
"2020년 08월 27일","1,945.20","1,973.60","1,998.00","1,930.60","1.59K","-1.06%"
"2020년 08월 26일","1,966.00","1,949.60","1,976.20","1,922.40","0.70K","1.52%"
"2020년 08월 25일","1,936.60","1,952.30","1,957.20","1,933.80","0.83K","-0.87%"
"2020년 08월 24일","1,953.50","1,958.70","1,983.20","1,946.20","1.38K","-0.38%"
"2020년 08월 21일","1,960.90","1,974.50","1,974.50","1,933.20","0.81K","0.01%"
"2020년 08월 20일","1,960.70","1,954.70","1,975.70","1,941.60","1.57K","-1.16%"
"2020년 08월 19일","1,983.70","2,027.70","2,028.70","1,943.30","1.72K","-2.14%"
"2020년 08월 18일","2,027.10","2,010.60","2,036.10","1,999.50","1.52K","0.75%"
"2020년 08월 17일","2,012.00","1,971.60","2,012.70","1,965.60","3.05K","2.34%"
"2020년 08월 14일","1,965.90","1,984.40","1,985.90","1,957.40","0.94K","-1.06%"
"2020년 08월 13일","1,987.00","1,939.20","1,991.00","1,939.20","2.31K","1.11%"
"2020년 08월 12일","1,965.20","1,939.60","1,975.70","1,891.20","2.73K","0.07%"
"2020년 08월 11일","1,963.90","2,059.80","2,059.80","1,933.30","4.39K","-4.65%"
"2020년 08월 10일","2,059.60","2,059.00","2,077.70","2,048.00","2.80K","0.57%"
"2020년 08월 07일","2,048.00","2,100.30","2,107.60","2,046.70","3.72K","-1.98%"
"2020년 08월 06일","2,089.40","2,071.10","2,101.10","2,071.10","3.53K","1.01%"
"2020년 08월 05일","2,068.60","2,057.20","2,087.60","2,049.00","2.46K","1.41%"
"2020년 08월 04일","2,039.80","2,008.10","2,056.40","2,001.60","2.66K","1.74%"
"2020년 08월 03일","2,005.00","2,019.60","2,025.60","1,993.90","1.48K","0.02%"
"2020년 07월 31일","2,004.60","1,993.90","2,022.40","1,990.30","0.82K","0.98%"
"2020년 07월 30일","1,985.20","2,003.60","2,003.60","1,972.50","0.87K","-0.48%"
"2020년 07월 29일","1,994.80","1,992.30","2,013.20","1,974.00","0.80K","0.58%"
"2020년 07월 28일","1,983.20","1,986.80","2,016.80","1,960.00","1.16K","0.41%"
"2020년 07월 27일","1,975.20","1,949.50","1,987.80","1,949.50","3.44K","1.56%"
"2020년 07월 24일","1,944.80","1,931.10","1,949.40","1,928.90","0.70K","0.45%"
"2020년 07월 23일","1,936.10","1,916.00","1,945.00","1,911.50","1.19K","1.37%"
"2020년 07월 22일","1,909.90","1,885.70","1,915.60","1,885.40","1.24K","1.32%"
"2020년 07월 21일","1,885.00","1,856.80","1,885.40","1,856.80","0.52K","1.63%"
"2020년 07월 20일","1,854.70","1,852.90","1,856.30","1,852.90","0.24K","0.35%"
"2020년 07월 17일","1,848.30","1,840.60","1,851.00","1,840.10","0.37K","0.39%"
"2020년 07월 16일","1,841.20","1,857.80","1,857.80","1,838.80","0.57K","-0.83%"
"2020년 07월 15일","1,856.70","1,860.90","1,860.90","1,851.20","0.43K","-0.01%"
"2020년 07월 14일","1,856.90","1,851.40","1,857.90","1,843.00","0.68K","-0.12%"
"2020년 07월 13일","1,859.10","1,849.90","1,862.20","1,849.90","0.67K","0.68%"
"2020년 07월 10일","1,846.50","1,851.60","1,859.20","1,841.60","0.86K","-0.11%"
"2020년 07월 09일","1,848.60","1,868.30","1,868.30","1,847.00","0.55K","-0.92%"
"2020년 07월 08일","1,865.70","1,856.10","1,869.80","1,853.90","1.24K","0.99%"
"2020년 07월 07일","1,847.50","1,828.70","1,847.50","1,820.00","1.48K","1.10%"
"2020년 07월 06일","1,827.40","1,825.80","1,828.60","1,825.80","1.76K","2.23%"
"2020년 07월 03일","1,787.60","1,786.90","1,788.70","1,783.65","-","-1.91%"
"2020년 07월 02일","1,822.40","1,799.00","1,821.30","1,798.80","0.29K","0.57%"
"2020년 07월 01일","1,812.10","1,829.30","1,829.30","1,829.30","0.31K","-1.01%"
"2020년 06월 30일","1,830.50","1,820.00","1,830.50","1,820.00","0.20K","1.13%"
"2020년 06월 29일","1,810.00","1,817.60","1,818.50","1,813.50","0.40K","0.10%"
"2020년 06월 26일","1,808.20","1,788.50","1,813.30","1,785.30","0.29K","0.56%"
"2020년 06월 25일","1,798.10","1,795.00","1,801.40","1,792.10","0.11K","-0.23%"
"2020년 06월 24일","1,802.30","1,813.00","1,814.50","1,803.80","0.43K","-0.25%"
"2020년 06월 23일","1,806.80","1,799.10","1,808.00","1,799.10","0.23K","0.83%"
"2020년 06월 22일","1,792.00","1,787.00","1,798.40","1,783.10","0.39K","0.72%"
"2020년 06월 19일","1,779.20","1,771.60","1,785.80","1,771.60","0.58K","1.15%"
"2020년 06월 18일","1,758.90","1,752.90","1,765.20","1,739.60","0.39K","-0.32%"
"2020년 06월 17일","1,764.50","1,751.50","1,756.80","1,735.60","0.62K","-0.05%"
"2020년 06월 16일","1,765.40","1,763.60","1,767.30","1,763.60","0.43K","0.56%"
"2020년 06월 15일","1,755.50","1,760.50","1,760.50","1,760.50","0.50K","-0.56%"
"2020년 06월 12일","1,765.30","1,768.40","1,768.50","1,765.30","0.43K","-0.16%"
"2020년 06월 11일","1,768.20","1,777.70","1,777.70","1,758.90","0.83K","1.05%"
"2020년 06월 10일","1,749.80","1,752.00","1,759.10","1,749.90","0.22K","-0.07%"
"2020년 06월 09일","1,751.10","1,747.90","1,750.00","1,747.90","0.26K","0.96%"
"2020년 06월 08일","1,734.50","1,718.90","1,734.50","1,718.90","0.41K","1.30%"
"2020년 06월 05일","1,712.20","1,741.70","1,741.70","1,704.60","1.09K","-2.51%"
"2020년 06월 04일","1,756.20","1,747.60","1,752.00","1,747.60","0.84K","1.50%"
"2020년 06월 03일","1,730.20","1,751.80","1,751.80","1,718.00","1.29K","-1.49%"
"2020년 06월 02일","1,756.40","1,773.00","1,774.50","1,751.00","0.54K","-0.80%"
"2020년 06월 01일","1,770.50","1,775.50","1,775.50","1,772.80","0.38K","-0.07%"
"2020년 05월 29일","1,771.70","1,748.20","1,771.50","1,748.20","0.78K","1.34%"
"2020년 05월 28일","1,748.20","1,748.80","1,757.30","1,748.80","0.46K","0.17%"
"2020년 05월 27일","1,745.30","1,743.80","1,746.00","1,722.70","0.58K","0.02%"
"2020년 05월 26일","1,744.90","1,760.90","1,765.00","1,739.80","0.43K","1.04%"
"2020년 05월 25일","1,727.00","1,730.55","1,731.35","1,719.25","-","-0.21%"
"2020년 05월 24일","1,730.65","1,735.45","1,735.90","1,729.80","-","-2.20%"
"2020년 05월 22일","1,769.50","1,772.10","1,772.10","1,768.50","1.89K","0.85%"
"2020년 05월 21일","1,754.60","1,780.10","1,780.10","1,753.60","1.96K","-1.75%"
"2020년 05월 20일","1,785.80","1,784.70","1,789.80","1,778.30","0.47K","0.43%"
"2020년 05월 19일","1,778.20","1,772.20","1,772.20","1,772.20","0.04K","0.73%"
"2020년 05월 18일","1,765.30","1,794.00","1,794.00","1,767.70","0.06K","-0.96%"
"2020년 05월 15일","1,782.50","1,776.20","1,781.50","1,776.20","0.45K","0.89%"
"2020년 05월 14일","1,766.70","1,747.10","1,747.10","1,747.10","0.15K","1.40%"
"2020년 05월 13일","1,742.30","1,742.70","1,746.50","1,742.70","0.10K","0.50%"
"2020년 05월 12일","1,733.70","1,733.20","1,734.50","1,731.90","0.01K","0.41%"
"2020년 05월 11일","1,726.70","1,727.70","1,734.20","1,714.20","0.01K","-0.87%"
"2020년 05월 08일","1,741.90","1,747.80","1,747.80","1,747.80","0.17K","-0.53%"
"2020년 05월 07일","1,751.10","1,718.90","1,722.80","1,718.50","0.33K","2.29%"
"2020년 05월 06일","1,711.90","1,728.40","1,728.40","1,713.00","0.16K","-1.31%"
"2020년 05월 05일","1,734.60","1,725.80","1,739.10","1,725.80","0.40K","0.05%"
"2020년 05월 04일","1,733.70","1,730.00","1,737.30","1,730.00","0.26K","1.06%"
"2020년 05월 01일","1,715.60","1,705.70","1,723.10","1,688.00","0.12K","0.46%"
"2020년 04월 30일","1,707.70","1,706.40","1,706.40","1,706.40","0.05K","-0.99%"
"2020년 04월 29일","1,724.80","1,730.50","1,730.50","1,728.80","0.03K","-0.48%"
"2020년 04월 28일","1,733.20","1,731.80","1,740.00","1,712.70","3.06K","-0.01%"
"2020년 04월 27일","1,733.30","1,746.70","1,753.00","1,726.80","0.13K","-0.59%"
"2020년 04월 24일","1,743.60","1,758.10","1,765.00","1,745.00","0.06K","-0.51%"
"2020년 04월 23일","1,752.50","1,754.50","1,757.30","1,754.50","0.03K","0.46%"
"2020년 04월 22일","1,744.50","1,732.30","1,745.50","1,732.30","0.26K","3.04%"
"2020년 04월 21일","1,693.10","1,722.20","1,722.20","1,679.60","0.08K","-1.35%"
"2020년 04월 20일","1,716.20","1,714.10","1,714.10","1,713.90","0.14K","0.73%"
"2020년 04월 17일","1,703.80","1,714.50","1,714.50","1,705.10","0.11K","-1.95%"
"2020년 04월 16일","1,737.60","1,744.00","1,771.20","1,727.60","0.24K","-0.50%"
"2020년 04월 15일","1,746.40","1,760.70","1,762.70","1,736.40","0.20K","-1.43%"
"2020년 04월 14일","1,771.70","1,767.90","1,789.80","1,762.70","0.04K","0.50%"
"2020년 04월 13일","1,762.80","1,732.50","1,758.00","1,732.50","0.03K","1.28%"
"2020년 04월 10일","1,740.60","1,740.60","1,740.60","1,740.60","-","-0.74%"
"2020년 04월 09일","1,753.60","1,733.30","1,733.30","1,733.30","0.04K","4.15%"
"2020년 04월 08일","1,683.80","1,690.10","1,690.10","1,690.10","0.02K","0.04%"
"2020년 04월 07일","1,683.20","1,688.80","1,688.80","1,688.80","0.07K","-0.62%"
"2020년 04월 06일","1,693.70","1,685.30","1,688.60","1,685.30","0.11K","2.80%"
"2020년 04월 03일","1,647.60","1,639.00","1,651.50","1,625.30","0.14K","0.45%"
"2020년 04월 02일","1,640.20","1,636.40","1,636.40","1,636.40","0.29K","2.87%"
"2020년 04월 01일","1,594.50","1,594.40","1,594.40","1,594.40","0.18K","-0.32%"
"2020년 03월 31일","1,599.60","1,625.30","1,625.30","1,625.30","0.06K","-2.82%"
